Model,technique,trainable_parameters,time_epoch_s,time_step_ms,epochs,loss,accuracy,precision,recall,tp,fp,tn,fn,auc,prc,f1_beta
MobileNetV2_03-27-19,transfer learning,164097,37,18,16,0.17646639049053192,0.9379382729530334,0.762942790985107,0.756756782531738,840.0,261.0,7185.0,270.0,0.9430896639823914,0.8495543599128723,0.757985946114014
MobileNetV2_03-27-19,fine tuning,1370177,44,22,10,0.15487436950206757,0.950560986995697,0.802643179893493,0.820720732212066,911.0,224.0,7222.0,199.0,0.9564327001571655,0.8854201436042786,0.81704
MobileNetV2_04-05-14,transfer learning,164097,39,19,6,0.17792344093322754,0.9374707937240601,0.764976978302002,0.747747719287872,830.0,255.0,7191.0,280.0,0.9393799304962158,0.841061532497406,0.7511312025584933
MobileNetV2_04-05-14,fine tuning,1370177,45,22,1,0.17078030109405518,0.9424964785575867,0.833693325519561,0.69549548625946,772.0,154.0,7292.0,338.0,0.937362015247345,0.8369210958480835,0.7193440131106569
Xception_03-29-11,transfer learning,262401,78,160,10,0.15815481543540955,0.9448340535163879,0.791058421134948,0.781081080436706,867.0,229.0,7217.0,243.0,0.9578555226325989,0.8756426572799683,0.783056363149672
Xception_03-29-11,fine tuning,8126769,124,224,8,0.12912298738956451,0.958158016204834,0.8494423627853394,0.823423445224762,914.0,162.0,7284.0,196.0,0.9641915559768677,0.9043720364570618,0.8284989267923524
Xception_04-05-14,transfer learning,262401,84,173,13,0.18804126977920532,0.9331463575363159,0.706288337707519,0.829729735851287,921.0,383.0,7063.0,189.0,0.951730489730835,0.8698709607124329,0.8017061311980559
Xception_04-05-14,fine tuning,8126769,110,227,5,0.12919440865516663,0.9582749009132385,0.858913242816925,0.811711728572845,901.0,148.0,7298.0,209.0,0.9638351202011108,0.8999343514442444,0.8207323861866727
InceptionV3_04-06-14,transfer learning,262401,44,89,7,0.32113686203956604,0.8596306443214417,0.477008581161499,0.850450456142425,944.0,1035.0,6411.0,166.0,0.937549889087677,0.8177359104156494,0.7353170266843018
InceptionV3_04-06-14,fine tuning,2197761,43,88,2,0.17673304677009583,0.9348995089530945,0.738980114459991,0.77027028799057,855.0,302.0,7144.0,255.0,0.9496109485626221,0.849579393863678,0.7638020493466835
ResNet50V2_04-05-14,transfer learning,262401,44,91,16,0.17909151315689087,0.9379382729530334,0.734033942222595,0.818018019199371,908.0,329.0,7117.0,202.0,0.9552092552185059,0.8712007999420166,0.7997181593186211
ResNet50V2_04-05-14,fine tuning,8142081,55,113,1,0.14148998260498047,0.9595605134963989,0.8905930519104,0.784684658050537,871.0,107.0,7339.0,239.0,0.9555329084396362,0.8888020515441895,0.8038021194475774
ConvNeXtTiny_04-06-14,transfer learning,98561,82,169,6,0.15000948309898376,0.94974285364151,0.8386453986167908,0.7585585713386536,842.0,162.0,7284.0,268.0,0.9518216252326965,0.872492790222168,0.7733284422485226
ConvNeXtTiny_04-06-14,fine tuning,14349569,151,311,5,0.13427197933197021,0.9564048647880554,0.8958109617233276,0.7513513565063477,834.0,97.0,7349.0,276.0,0.9570815563201904,0.8886507153511047,0.7763917386520716
DenseNet121_04-06-14,transfer learning,131329,47,97,16,0.1402740180492401,0.9543010592460632,0.824165940284729,0.823423445224762,914.0,195.0,7251.0,196.0,0.9623777270317078,0.8987922072410583,0.8235718371906884
DenseNet121_04-06-14,fine tuning,498497,49,101,18,0.12759770452976227,0.9631837010383606,0.9278794527053833,0.776576578617096,862.0,67.0,7379.0,248.0,0.959328830242157,0.8994137048721313,0.802756569076056
NASNetMobile_04-06-14,transfer learning,135425,34,70,1,0.19299066066741943,0.9347826242446899,0.739168107509613,0.76846843957901,853.0,301.0,7145.0,257.0,0.9360833764076233,0.8471559882164001,0.7624240022670786
NASNetMobile_04-06-14,fine tuning,305617,34,70,1,0.17991016805171967,0.9420289993286133,0.7869158983230591,0.7585585713386536,842.0,228.0,7218.0,268.0,0.9352489709854126,0.8475923538208008,0.7640653481008776
EfficientNetV2B0_04-07-19,transfer learning,164097,23,46,6,0.12353289127349854,0.9594436883926392,0.8582159876823425,0.823423445224762,914.0,151.0,7295.0,196.0,0.9681494235992432,0.9128931760787964,0.8301544275371364
EfficientNetV2B0_04-07-19,fine tuning,981937,24,49,11,0.10486175864934921,0.9661056399345398,0.913306474685669,0.816216230392456,906.0,86.0,7360.0,204.0,0.9733328819274902,0.924095630645752,0.8339469965407189
